Dist_A0,Dist_A1,Dist_A2,Dist_A3,Dist_A4,Dist_A5,Dist_A6,Dist_A7
4.784144402,3.570481777,3.948072195,5.741626263,5.333136559,2.845257998,4.333904266,5.654858112
4.291052818,4.555158138,4.072625637,4.75236845,4.525127411,4.12278986,4.572087765,4.205207825
5.019024849,3.124128819,3.929288864,5.810441494,5.332484722,2.727060318,4.317525864,5.798611641
5.145448685,5.491944313,3.832700491,4.337373257,5.490922451,5.098398685,3.889177322,3.673865795
5.997403145,5.107872963,2.941305637,5.348097324,6.415541649,4.63051796,3.131718397,4.579169273
4.565647602,6.261641502,4.323019981,3.641835451,5.000892639,5.587330341,4.907730103,2.976556063
3.157092094,5.345569611,5.480722427,4.45940876,3.411636353,4.403743267,5.932736397,4.16814661
4.211232662,3.898097515,4.557184219,5.432646275,4.521930218,3.413063049,4.914514065,5.12289238
4.517365456,4.924104691,3.997271061,4.23123455,4.81814146,4.252145767,4.447245121,4.308245659
5.100516319,5.348925591,3.86127305,4.390280724,5.388481617,5.128033638,4.250557423,3.712281942
5.822216034,4.912333488,3.263753891,5.186702728,6.189088821,4.375724792,3.296400309,4.689201832
5.003468513,5.788416386,3.547106981,4.368067265,5.447343826,4.866917133,4.24720192,3.712740183
4.571401119,6.448293209,4.586992264,3.204797268,4.716237545,5.707879543,5.803981304,2.767141104
5.895996571,5.086197853,2.558323383,5.26088953,6.217383385,4.523684502,3.16752553,4.525531769
4.682071686,3.692125559,4.092947483,5.724516392,5.225938797,2.962023973,4.468520641,5.640206337
3.774644852,5.137223721,4.060973644,4.619721889,4.587993145,4.00108099,5.03679657,4.07615757
5.192090034,5.525500298,3.700764179,4.308121204,5.552895069,5.0496521,3.80460763,3.675141573
4.870165348,5.868058205,4.152315617,3.768330574,4.82047987,5.284106731,4.523322582,3.248265266
5.976978302,5.053438187,2.922996044,5.26935339,6.388682842,4.614529133,2.970457077,4.604201317
5.819820404,5.063207626,2.67068243,5.265635014,6.20864439,4.564202785,3.111943245,4.493712425
4.982870102,2.977426052,4.053780556,5.833291054,5.46252203,2.75419116,4.330096245,5.807319164
